serial,name,outlet_name,address_1,address_2,city,state,zip,pin,modes,interval,txpower,ibeacon,eddystoneuid,eddystoneurl
000095,4103331,CALIFORNIAS GREAT AMERICA,2401 AGNEW RD,EE ASSOCIATED SERVI,SANTA CLARA,CA,950541201,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000005FBE,E7F82FC8513BE02469B6AE00000000005f,E7017261646975736E6574776F726B7307
000096,8985106,HOLIDAY 0323 INN FS BOI,1300 COLUMBUS AVE,4TH FLR VENDING ARE,SAN FRANCISCO,CA,941331328,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000060BE,E7F82FC8513BE02469B6AE000000000060,E7017261646975736E6574776F726B7307
000097,3393332,AMC THEATERS #04340,1000 VAN NESS AVE,I/S FRNT MULTI,SAN FRANCISCO,CA,941096973,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000061BE,E7F82FC8513BE02469B6AE000000000061,E7017261646975736E6574776F726B7307
000098,9431583,UNIV OF SAN FRANCISCO,2130 FULTON ST,KENDRICK HALL STL,SAN FRANCISCO,CA,941171080,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000062BE,E7F82FC8513BE02469B6AE000000000062,E7017261646975736E6574776F726B7307
000099,8980076,HOLIDAY 0323 INN FS BOI,1300 COLUMBUS AVE,1ST FL LOBBY VEND A,SAN FRANCISCO,CA,941331328,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000063BE,E7F82FC8513BE02469B6AE000000000063,E7017261646975736E6574776F726B7307
000100,3918100,VG EAVES WEST VALLEY,700  SARATOGA AVE,O/S NEAR POOL 1 20Z,SAN JOSE,CA,951292405,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000064BE,E7F82FC8513BE02469B6AE000000000064,E7017261646975736E6574776F726B7307
000101,2025197,VENDCO COURTYARD APTS,1465 65TH ST,BOI FITNESS CENTER,EMERYVILLE,CA,946081062,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000065BE,E7F82FC8513BE02469B6AE000000000065,E7017261646975736E6574776F726B7307
000102,1073005,CASA DE AMIGOS FS COI,1085 TASMAN DR,MAIN CLUB HOUSE RV8,SUNNYVALE,CA,940895001,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000066BE,E7F82FC8513BE02469B6AE000000000066,E7017261646975736E6574776F726B7307
000103,1914004,EL DORADO MOBIL PARK FS COI,600  E WEDDELL DR,COI INSIDE,SUNNYVALE,CA,940894732,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000067BE,E7F82FC8513BE02469B6AE000000000067,E7017261646975736E6574776F726B7307
000104,3896134,WVF MALL CPK1ST FLOOR #2,2855 STEVENS CREEK BLVD,I/S MALL ENT C PARK,SANTA CLARA,CA,950506709,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000068BE,E7F82FC8513BE02469B6AE000000000068,E7017261646975736E6574776F726B7307
