route,outlet,outlet_name,address_1,address_2,city,state,zip,serial,name,pin,modes,interval,txpower,ibeacon,eddystoneuid,eddystoneurl
401,4442079,PIER 39 GARAGE FS BOI,PIER 39,BOI 3RD FLOOR GARAG,SAN FRANCISCO,CA,941331007,111,4442079−000111,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000006FBE,E7F82FC8513BE02469B6AE00000000006f,E7017261646975736E6574776F726B7307
401,3393331,AMC THEATERS #04340,1000 VAN NESS AVE,I/S 7TH FLR MULTI,SAN FRANCISCO,CA,941096973,112,3393331−000112,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000070BE,E7F82FC8513BE02469B6AE000000000070,E7017261646975736E6574776F726B7307
410,4837977,LIVERMORE VALLEY PREMIUM,2774 PARAGON OUTLETS DR,END OF EMPLOYEE HAL,LIVERMORE,CA,945514204,113,4837977−000113,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000071BE,E7F82FC8513BE02469B6AE000000000071,E7017261646975736E6574776F726B7307
405,3130825,POINT ALAMEDA APTS FS COI,1380 BALLENA BLVD,COI OUTSIDE BY POOL,ALAMEDA,CA,945013607,114,3130825−000114,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000072BE,E7F82FC8513BE02469B6AE000000000072,E7017261646975736E6574776F726B7307
401,4358960,VG PLAZA SUITES HOTEL THE,3100 LAKESIDE DR,I/S PLAZA SUITES BR,SANTA CLARA,CA,950542804,115,4358960−000115,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000073BE,E7F82FC8513BE02469B6AE000000000073,E7017261646975736E6574776F726B7307
402,2924910,UHAUL,1575 BAYSHORE BLVD,I/S WAITING RM MULT,SAN FRANCISCO,CA,941243111,116,2924910−000116,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000074BE,E7F82FC8513BE02469B6AE000000000074,E7017261646975736E6574776F726B7307
401,4240908,STANFORD COURT HOTEL,905  CALIFORNIA ST,I/S FRNT MULTI,SAN FRANCISCO,CA,941082289,117,4240908−000117,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000075BE,E7F82FC8513BE02469B6AE000000000075,E7017261646975736E6574776F726B7307
401,2984515,WEST FIELD MALL,865  MARKET ST,C LEVEL PACSUN STOR,SAN FRANCISCO,CA,941031900,118,2984515−000118,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000076BE,E7F82FC8513BE02469B6AE000000000076,E7017261646975736E6574776F726B7307
402,3929722,BUDGET INN,16500FOOTHILL BLVD,I/S 2ND FL 20Z,SAN LEANDRO,CA,945781509,119,3929722−000119,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000077BE,E7F82FC8513BE02469B6AE000000000077,E7017261646975736E6574776F726B7307
401,8980083,HOLIDAY 0323 INN FS BOI,1300 COLUMBUS AVE,3RD FLR VEND AREA,SAN FRANCISCO,CA,941331328,120,8980083−000120,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000078BE,E7F82FC8513BE02469B6AE000000000078,E7017261646975736E6574776F726B7307
404,4103353,CALIFORNIAS GREAT AMERICA,2401 AGNEW RD,GAME GALLERY 2 STL,SANTA CLARA,CA,950541201,121,4103353−000121,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000079BE,E7F82FC8513BE02469B6AE000000000079,E7017261646975736E6574776F726B7307
403,1452592,VILLAGES PRO SHOP,5000 CRIBARI LN,PRO SHOP,SAN JOSE,CA,951351309,122,1452592−000122,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000007ABE,E7F82FC8513BE02469B6AE00000000007a,E7017261646975736E6574776F726B7307
402,3957214,GREAT MALL BOI OS ENTR4,447  GREAT MALL DR,O/S ENTRANCE 4 20Z,MILPITAS,CA,950358041,123,3957214−000123,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000007BBE,E7F82FC8513BE02469B6AE00000000007b,E7017261646975736E6574776F726B7307
405,1359011,VG BAY STREET APTS,5684 BAY ST,4TH FL NEXT TO BATH,EMERYVILLE,CA,946082451,124,1359011−000124,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000007CBE,E7F82FC8513BE02469B6AE00000000007c,E7017261646975736E6574776F726B7307
401,1342814,COVA HOTEL,655  ELLIS ST,7TH FL COVA HOTEL,SAN FRANCISCO,CA,941098027,125,1342814−000125,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000007DBE,E7F82FC8513BE02469B6AE00000000007d,E7017261646975736E6574776F726B7307
405,1887989,VEOLIA TRANSPORTATION,1750 BROADWAY,EMPLOYEE LOUNGE RV6,OAKLAND,CA,946122106,126,1887989−000126,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000007EBE,E7F82FC8513BE02469B6AE00000000007e,E7017261646975736E6574776F726B7307
401,8541816,UNIV OF SAN FRANCISCO,2130 FULTON ST,HAYES HEALY STL,SAN FRANCISCO,CA,941171080,127,8541816−000127,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000007FBE,E7F82FC8513BE02469B6AE00000000007f,E7017261646975736E6574776F726B7307
405,9976179,HOLIDAY INN EXPRESS,66   AIRPORT ACCESS RD,FS BOI 1 FL/COKE BT,OAKLAND,CA,946031078,128,9976179−000128,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000080BE,E7F82FC8513BE02469B6AE000000000080,E7017261646975736E6574776F726B7307
401,9671011,GOLDEN GATE FERRY FS BOI,1    FERRY PLZ,BOI OUTSIDE NEXT TO,SAN FRANCISCO,CA,941114212,129,9671011−000129,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000081BE,E7F82FC8513BE02469B6AE000000000081,E7017261646975736E6574776F726B7307
402,8064286,GOOD NITE INN,4135 CUSHING PKWY,FS DOI LOBBY COKE,FREMONT,CA,945386464,130,8064286−000130,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000082BE,E7F82FC8513BE02469B6AE000000000082,E7017261646975736E6574776F726B7307
401,1141280,UNIV OF SAN FRANCISCO,2130 FULTON ST,LOYALA VILLAGE BLDG,SAN FRANCISCO,CA,941171080,131,1141280−000131,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000083BE,E7F82FC8513BE02469B6AE000000000083,E7017261646975736E6574776F726B7307
401,3859381,PALO ALTO TRAVELODGE FS BOI,3255 EL CAMINO REAL,BOI OUTSIDE,PALO ALTO,CA,943062210,132,3859381−000132,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000084BE,E7F82FC8513BE02469B6AE000000000084,E7017261646975736E6574776F726B7307
410,4837969,LIVERMORE VALLEY PREMIUM,2774 PARAGON OUTLETS DR,RESTROOM BESIDE GOD,LIVERMORE,CA,945514204,133,4837969−000133,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000085BE,E7F82FC8513BE02469B6AE000000000085,E7017261646975736E6574776F726B7307
402,3696687,LA QUINTA INN AND SUITES,1390 EL CAMINO REAL,I/S 3RD FL 12Z,MILLBRAE,CA,940301411,134,3696687−000134,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000086BE,E7F82FC8513BE02469B6AE000000000086,E7017261646975736E6574776F726B7307
410,4870386,LIVERMORE VALLEY PREMIUM,2774 LIVERMORE OUTLETS DR,I/S NEAR MICHAEL KO,LIVERMORE,CA,945514204,135,4870386−000135,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000087BE,E7F82FC8513BE02469B6AE000000000087,E7017261646975736E6574776F726B7307
402,2471929,THE DYLAN,110  S EL CAMINO REAL,BOI OUTSIDE/OFFICE,MILLBRAE,CA,940303121,136,2471929−000136,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000088BE,E7F82FC8513BE02469B6AE000000000088,E7017261646975736E6574776F726B7307
401,5984992,UNIV OF SAN FRANCISCO,2130 FULTON ST,KENDRICK HALL CSD,SAN FRANCISCO,CA,941171080,137,5984992−000137,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000089BE,E7F82FC8513BE02469B6AE000000000089,E7017261646975736E6574776F726B7307
405,1647357,SUMMER HOUSE FS,433  BUENA VISTA AVE,BLDG 525 1ST FLOOR,ALAMEDA,CA,945011956,138,1647357−000138,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000008ABE,E7F82FC8513BE02469B6AE00000000008a,E7017261646975736E6574776F726B7307
401,3918096,WESTGATE MALL,1600 SARATOGA AVE,FS BOI I/S ANY MOUN,SAN JOSE,CA,951295101,139,3918096−000139,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000008BBE,E7F82FC8513BE02469B6AE00000000008b,E7017261646975736E6574776F726B7307
